DATE,min,max
2020/8/21,66.41538,87.32956
2020/8/22,58.48419,75.14396
2020/8/23,61.408604,80.92409
2020/8/24,66.53948,87.9693
2020/8/25,67.707245,92.0355
2020/8/26,64.01477,84.01073
2020/8/27,52.427933,71.10953
2020/8/28,51.0004,59.20597
2020/8/29,51.32784,59.78275
2020/8/30,50.139122,64.30522
2020/8/31,51.266747,64.38455
2020/9/1,49.355896,66.692276
2020/9/2,51.868195,73.770325
2020/9/3,54.603065,78.81452
2020/9/4,57.381153,79.968315
2020/9/5,59.63089,81.37839
2020/9/6,58.804977,81.19863
2020/9/7,56.8979,79.533745
2020/9/8,57.10203,80.160576
2020/9/9,59.269287,80.976326
2020/9/10,60.408043,81.88227
2020/9/11,57.650566,77.08573
2020/9/12,54.540474,74.38217
2020/9/13,53.44649,71.63442
2020/9/14,50.9895,70.44173
2020/9/15,50.549667,70.48077
2020/9/16,50.344566,73.150444
2020/9/17,55.335506,71.52715
2020/9/18,52.20566,69.60901
2020/9/19,52.093685,72.616684
2020/9/20,51.402054,75.12512
2020/9/21,53.943367,77.0074
2020/9/22,47.819946,70.573235
2020/9/23,48.76143,66.74114
2020/9/24,49.064808,70.33503
2020/9/25,51.851192,64.178566
2020/9/26,44.739956,60.508068
2020/9/27,42.54521,62.36314
2020/9/28,45.9186,64.44795
2020/9/29,48.577507,68.284485
2020/9/30,48.267338,62.705563
2020/10/1,45.269398,64.73544
2020/10/2,48.18173,70.04508
2020/10/3,53.04888,75.82442
2020/10/4,58.03193,76.074936
2020/10/5,57.775696,79.21243
2020/10/6,49.953213,64.58729
2020/10/7,47.064903,61.304123
2020/10/8,44.397392,61.840816
2020/10/9,38.262257,56.31722
2020/10/10,37.95839,52.314175
2020/10/11,37.709827,49.209625
2020/10/12,38.34094,56.58457
2020/10/13,39.888344,58.024162
2020/10/14,39.68428,58.86649
2020/10/15,40.95479,60.224922
2020/10/16,42.121952,62.82885
2020/10/17,44.98365,68.46642
2020/10/18,46.625362,68.686806
2020/10/19,46.235497,66.95077
2020/10/20,39.12081,54.684986
2020/10/21,37.05465,47.738537
2020/10/22,29.479933,46.804146
2020/10/23,28.946165,47.38066
2020/10/24,33.851135,49.31643
2020/10/25,36.23519,50.555714
2020/10/26,36.406273,52.5468
2020/10/27,39.7491,58.544563
2020/10/28,37.646126,52.593014
2020/10/29,30.450253,41.294914
2020/10/30,24.716055,34.759754
2020/10/31,25.091162,38.32479
2020/11/1,23.519444,35.316116
2020/11/2,25.665798,38.196934
2020/11/3,23.607414,40.280655
2020/11/4,27.971544,39.251442
2020/11/5,26.777313,39.98743
2020/11/6,28.623941,42.92408
2020/11/7,38.16164,58.2984
2020/11/8,37.893234,54.868958
2020/11/9,27.766153,39.6138
2020/11/10,22.84315,31.255629
2020/11/11,20.523005,34.96714
2020/11/12,21.967205,37.68178
2020/11/13,24.14565,43.850296
2020/11/14,28.65011,44.974
2020/11/15,24.955338,35.99067
2020/11/16,24.500269,34.715782
2020/11/17,19.763548,32.271202
2020/11/18,16.340624,31.731836
2020/11/19,18.916227,31.98106
2020/11/20,22.858288,39.23591
2020/11/21,24.986433,38.069454
2020/11/22,19.254469,34.249973
2020/11/23,25.134752,36.33945
2020/11/24,23.997677,32.81048
2020/11/25,26.611322,35.072968
2020/11/26,26.395203,34.903217
2020/11/27,26.04108,35.11637
2020/11/28,25.386898,35.28774
2020/11/29,26.918068,35.65557
2020/11/30,27.09524,35.95883
2020/12/1,24.280432,30.677334
2020/12/2,24.662842,30.737411
2020/12/3,21.696863,30.266548
2020/12/4,22.655262,32.04633
2020/12/5,18.636467,28.982212
2020/12/6,14.665795,27.656338
2020/12/7,14.589054,23.454184
2020/12/8,12.72207,17.757097
2020/12/9,4.84626,15.338757
2020/12/10,8.437759,22.200275
2020/12/11,10.859489,25.451563
2020/12/12,10.187308,25.862017
2020/12/13,15.422865,28.536228
